Stok ismi;Stok bar kodu;
43544 LUNA SÜRAHİ;8693357338760;316
43544 SÜRAHİ MOR&YEŞİL&PEMBE;8693357338784;304
43544 SÜRAHİ MOR&YEŞİL&PEMBE;8693357338807;304
43544 SÜRAHİ MOR&YEŞİL&PEMBE;8693357338821;304
43624 KARAF SÜRAHİ;8693357075719;40
43654 GORDION SURAHI;8693357338845;354
43674 SPACE KANA SURAHI;8693357116221;234
43674 SPACE KANA SURAHI;8693357320864;234
43726 BOTANİCA VAZO;8693357295155;486
43797 BOTANİCA VAZO;8693357333352;40
43804 LİMONATA BASKILI ŞİŞE BARDAK;8680041005220;26
43934 BISTRO ŞEFFAF KAPAKLI SURAHI;8693357211032;300
43934 KANA SURAHI DESENLI;8693357372481;154
43966 VAZO FLORA;8693357052581;290
43984 HABITAT SURAHI;8693357180673;324
43996 BOTANICA VAZO;8693357295179;88
440040 VİCTORİA BARDAK 6'LI;8600000114039;700
440040 VİCTORİA BARDAK 6'LI;8693357156005;700
440113 DIAMOND KADEH 6LI;8693357249134;702
440186 DIAMOND KADEH 6LI;8693357313675;610
440221 GALA AYAKLI CAY BARDAGI;8693357273429;332
440221 GALA AYAKLI CAY BARDAGI;8693357320284;332
440410 DONDURMALIK 2LI;8693357331976;128
440469 BARDAK SOPHIA OPTICS 3LU;8693357319660;52
440479 BARDAK SOPHIA OPTICS 3LÜ;8693357319684;52
44134 BİSTRO KADEH 6LI;8693357194274;375
44411 BISTRO KADEH 6'LI;8693357007635;410
44411 BISTRO KADEH 6'LI;8693357153691;410
44417 BISTRO BARDAK 6'LI;8693357007574;396
44419 BISTRO BARDAK 3'LÜ;8693357001541;18
44757 BARDAK KADEH MAVİ 3'LÜ;8693357286238;344
44757 BARDAK KADEH YEŞİL 3'LÜ;8693357286252;344
44767 BARDAK KADEH MAVİ 3'LÜ;8693357286290;398
44767 BARDAK KADEH MOR 3'LÜ;8693357286337;162
44777 DIAMOND 6LI BARDAK;8693357161245;785
51418 DONDURMALIK;8693357089365;248
51628 ICEVILLE DONDURMALIK 2Lİ;8693357277250;46
51638 WORKSHOP DONDURMALIK 2LI;8693357286054;52
51638 WORKSHOP DONDURMALIK 2LI;8693357286078;52
52052 PAŞABAHÇE SU BARDAĞI ALANYA;8693357092518;158
52082 RAYAN BARDAK 6'LI;8693357067158;174
52138 ALANYA BARDAK;8693357153431;265
52291 KAHVE KEYFI SADE;8680041000676;166
52291 KAHVE MOLASI;8680041002588;40
52291 KAHVE SU BARDAGI;8693357256316;166
52291 KAHVE SU BARDAGI;8693357277779;166
52310 BARDAK TURKUAZ 6LI;8693357330306;50
52400 DİAMOND BARDAK 6LI;8693357283633;354
52400 DİAMOND BARDAK 6LI;8693357303003;354
52400 DİAMOND BARDAK 6LI;8693357411081;354
52400 DİAMOND BARDAK 6LI;8693357411104;354
52500 BARDAK WORK SHOP 6LI;8693357330429;50
52500 BARDAK WORK SHOP 6LI;8693357330443;50
52500 BARDAK WORK SHOP 6LI;8693357330481;50
52703 CASABLANCA BARDAK;8067815391;0
52767 HELEZON 3LU BARDAK 500CC;8693357161672;28
52988 DİAMOND BARDAK 6LI;8693357215870;470
53142 CİTY KASE TEKLİ;6700000011351;10
53653 KASE;8693357287136;484
53682 TOKİO KÜÇÜK KASE 6'LI;8693357268050;44
53763 KASE VENEZİA;8693357048683;60
53808 QUADRO SÜRAHİ 1,3L;21602538081;30
53903 TOSCANA KASE;8693357133440;60
54036 BİSTRO KULLUK 2'Lİ SADE;8693357010482;128
54036 BİSTRO KULLUK 2'Lİ SADE;8693357158658;128
54076 KÖŞEM COLORA KÜLLÜK 2'Lİ;8693357010468;165
54076 KÖŞEM COLORA KÜLLÜK 2'Lİ;8693357090743;165
54156 KULLUK OVAL 2LI;8693357150171;226
54201 CAY TABAK 6'LI;8693357041417;0
54251 AİDA ÇAY TABAĞI 6LI;8693357027008;292
54251 AİDA ÇAY TABAĞI 6LI;8693357366787;292
54261 KARE ÇAY TABAĞI;8693357368415;40
54281 CAY TABAGI 6LI;8693357178199;292
54321 CAY TABAGI KARE;8693357116719;306
54391 HEYBELİ ÇAY TABAĞI 6'LI;8693357222076;342
54391 HEYBELİ ÇAY TABAĞI 6'LI;8693357366800;342
54411 CAY TABAGI 6LI;8693357039841;174
54411 CAY TABAĞI 12Lİ;8693357032439;28
55029 KULPLU BARDAK 2LI;8693357320468;20
55039 KULPLU BARDK PUB 2'Lİ;8693357052543;475
55062 ÖLÇÜ KABI;8693357176997;38
55083 DIAMOND BARDAK 2Lİ;8693357221994;224
55102 FESTİVAL KANA;8693357116528;66
55172 ÖLÇÜ KABI;8693357304000;254
55182 VARIO COK AMACLI KASE 4LU;8693357319486;438
55192 KULPLU BARDAK;8693357341340;30
55233 CHROMA KULPLU BARDAK 2'Lİ;8693357263796;36
55373 DEM KULPLA CAY BARDAGI;8693357283756;518
55373 DEM KULPLA CAY BARDAGI;8693357317451;518
55383 AYRAN BARDAK 2'Lİ;8693357282599;264
55411 KEYIF KUPLU CAY BARDAGI 6LI;8693357062030;360
55671 KULPLU BARDAK TELESKOPİK;8693357184831;492
55871 BARDAK KULPLU TELOSKOBİK;8693357220805;492
59006 PAŞABAHÇE BORCAM KAPAKLI;8693357424319;434
59010 BORCAM KAPAKLI TENCERE 2.8LT;8693357192386;618
59034 PAŞABAHÇE BORCAM KAPAKLI;8693357424357;434
59044 BORCAM RENKLİ TEPSİ YUVARLAK;8693357328389;76
59044 BORCAM RENKLİ TEPSİ YUVARLAK;8693357328402;76
59044 BORCAM RENKLİ TEPSİ YUVARLAK;8693357328426;76
59044 BORCAM RENKLİ TEPSİ YUVARLAK;8693357328440;76
59044 BORCAM RENKLİ TEPSİ YUVARLAK;8693357328464;76
59044 BORCAM RENKLİ TEPSİ YUVARLAK;8693357328488;76
59062 BORCAM OVAL TENCERE KAPAKLI;8693357004085;236
59534 BORCAM YUVARLAK IZGARA TABAN;8693357354098;332
59554  BORCAM DIKTORGEN IIZGARA;8693357354074;584
59564 LOCK&STORE SAKLAMA KABI;8693357350588;210
59564 LOCK&STORE SAKLAMA KABI;8693357539570;210
